Title,Author/Creater,Date of Creation,Description,Keywords or Subject Tags,Source,License Type 
The Atlas of AI,Kate Crawford,2021,A political and a material perspective on what it takes to make artificial intelligence and where it goes wrong. This is an urgent account of what is at stake as technology companies use artificial intelligence to reshape the world.,"Business & Economics, Industries, Computers & information Technology,  Computers, Artificial Interlligence, Politics",Google Books ,Restricted
Digitization and Digital Archiving ,Elizabeth R. Leggett,2014,A Practical Guide for Librarians seeks to answer the following common questions: What should be stored? Where and how should it be stored? How exactly is information stored?,"Language Arts & Disciplines , Library & Information Science, Archives & Special Librarries",Google Books ,Restricted
The Digital Knowledge Age,Pasquale De Marco,2025,"This book provides a comprehensive guide to navigating this new era of digital knowledge, helping individuals and organizations thrive in a rapidly evolving world.","Business & Economics , Industries, Computers & Information Technology",Google Books ,Restricted
Jane Eyre,Charlotte Bronte,2007,"The novel is set somewhere in the north of England. Jane's childhood at Gateshead Hall, where she is emotionally and physically abused by her aunt and cousins; her education at Lowood School, where she acquires friends and role models but also suffers privations and oppression; her time as the governess of Thornfield Hall, where she falls in love with her Byronic employer, Edward Rochester; her time with the Rivers family, during which her earnest but cold clergyman cousin, St John Rivers, proposes to her. Will she or will she not marry him?","Fiction, Romance, Historical",Open Library,Restricted
Abraham Lincoln,Carl Sandburg,1974,"This definitive, single-volume edition of the Pulitzer Prize–winning biography delivers “a Lincoln whom no other man . . . could have given us” (New York Herald Tribune Book Review). Celebrated for his vivid depictions of the nineteenth-century American Midwest, Carl Sandburg brings unique insight to the life of Abraham Lincoln in this distinguished biography. He captures both the man who grew up on the Indiana prairie and the president who held the country together through the turbulence and tragedy of the Civil War.","Biography, History, United States",Open Library,Restricted
Fast Food Nation,Eric Schlosser,2002,"Fast food has hastened the malling of our landscape, widened the chasm between rich and poor, fueled an epidemic of obesity, and propelled American cultural imperialism abroad. That's a lengthy list of charges, but here Eric Schlosser makes them stick with an artful mix of first-rate reportage, wry wit, and careful reasoning.","Politics, Health, Food",Open Library,Restricted
"Introduction to Corporate Finance, Fourth Canadian Binder Ready Version","Laurence Booth, Sean Cleary, and Ian Rakita",2016,Not Available,"Corporate, Finance, Business",Open Library,Restricted
Charlotte's Web,E. B. White,2002,"Wilbur the pig is desolate when he discovers that he is destined to be the farmer's Christmas dinner until his spider friend, Charlotte, decides to help him.","Farm Life, Juvenile Fiction, Fantasy ",Open Library,Restricted
The Ghent Altarpiece,Jan van Eyck,1432,"The viewer's full attention is drawn to the large centre panel, in which a divine liturgy is performed around the Lamb of God, Jesus Christ, in a green landscape with a high horizon. an altar stands in the middle on a small green mound, possibly representing Mount Zion. the Lamb stands erect on the altar - alive but bleeding from a wound. It's blood spurts out into a chalice. The allusion is clear - Christ's death and ressurection - his sacrifice for humanity - are commemorated on the altar during every Mass. the scene as a whole referst to the Last supper when Jesus described the wine as his blood, which he was to shed for all humanity to earn the forgiveness of its sins.","Religion, Culture",Europeana ,Public
Portrait of a Young Woman,Giovanni Bellini ,Not Avaiable,Not Available,"Painting, Fine Art",Europeana ,Public
Eiffel Tower Construction,Fritz Eschen,1957,Not Available,Paris,Europeana ,Public
The Adventures of Sherlock Holmes,Sir Arthur Conan Doyle,1892,"LibriVox recording of The Adventures of Sherlock Holmes, by Sir Arthur Conan Doyle. Read by Mark F. Smith. Dr. Watson chronicles here some of the more interesting detective cases that he and his good friend, Mr. Sherlock Holmes, have encountered during their association. We see the cases unfold as he does, scratch our heads as does he while the evidence is collected, and then marvel at the impeccable observations, remarkable insight, and doggedness which Holmes displays as he teases apart the tangled clues.","Audiobook, Mysttery, Literature, Adventure ",Internet Archive,Public
Daddy Long Legs,Jean Webster,1912,Not Available,"Young women, Philanthropists, Orphans",Internet Archive,Public
Autobiography of Mark Twain,Charles Neider,1917,Not Available,"Biography, Author, History",Internet Archive,Public
Two Brothers in Arms,Not Available,1870,"Photograph shows two African American union soldiers, full-length portrait, wearing uniforms, seated with arms around each other's shoulders, facing front. Sitters possibly Baldy Guy (left) and George Guy (source: researcher S. Gardner, 2019).","Military Service, Soldiers, History, Civil War",Library of Congress,Public
Mary Church Terrell Papers: Speeches and Writings,Not Available,1876,Not Available,"Women's Rights, History, Unites States",Library of Congress,Public
Cinderella,Edward Dalziel,1889,Not Available,Conduct of Life,Internet Archive,Public
Moby Dick,Heman Melville,1851,"The book is centered on the sailor Ishmael's narrative of the maniacal quest of Ahab, captain of the whaling ship Pequod, for vengeance against Moby Dick, the giant white sperm whale that bit off his leg on the ship's previous voyage. ","Fiction, Literature",Internet Archive,Restricted
Rick Dad Poor Dad,Robert T Kiyosaki,2017,"""Rich Dad Poor Dad"" is a personal finance book written by Robert Kiyosaki. The book uses the author's experiences growing up with two fathers - his biological father (poor dad) and the father of his best friend (rich dad) - to provide lessons and insights on building wealth and achieving financial independence.","Finance, Investment, Personal",Internet Archive,Restricted
